Lugar;Esperança de vida ao nascer-1991;Esperança de vida ao nascer-2000;Esperança de vida ao nascer-2010;População total-1991;População total-2000;População total-2010;IDHM-1991;IDHM-2000;IDHM-2010
Acre;63.72;66.66;71.63;417718;557526;733559;0.402;0.517;0.663
Alagoas;58.10;63.79;70.32;2514100;2822621;3120494;0.37;0.471;0.631
Amazonas;63.67;66.51;73.3;2103243;2812557;3483985;0.43;0.515;0.674
Amapá;65.05;67.68;73.8;289397;477032;669526;0.472;0.577;0.708
Bahia;59.94;65.8;71.97;11867991;13070250;14016906;0.386;0.512;0.66
Ceará;61.76;67.77;72.6;6366647;7430661;8452381;0.405;0.541;0.682
Distrito Federal;68.87;73.86;77.35;1601094;2051146;2570160;0.616;0.725;0.824
Espírito Santo;66.17;71.64;75.1;2600618;3097232;3514952;0.505;0.64;0.74
Goiás;65.10;71.4;74.6;4018903;5003228;6003788;0.487;0.615;0.735
Maranhão;58.04;63.92;70.4;4930253;5651475;6574789;0.357;0.476;0.639
Minas Gerais;66.36;70.55;75.3;15743152;17891494;19597330;0.478;0.624;0.731
Mato Grosso do Sul;66.93;70.09;74.96;1780373;2078001;2449024;0.488;0.613;0.729
Mato Grosso;64.24;69.38;74.25;2027231;2504353;3035122;0.449;0.601;0.725
Pará;63.42;68.49;72.36;4950060;6192307;7581051;0.413;0.518;0.646
Paraíba;58.88;65.34;72;3201114;3443825;3766528;0.382;0.506;0.658
Pernambuco;62.04;67.32;72.32;7127855;7918344;8796448;0.44;0.544;0.673
Piauí;60.71;65.55;71.62;2582137;2843278;3118360;0.362;0.484;0.646
Paraná;65.71;69.83;74.8;8448713;9563458;10444526;0.507;0.65;0.749
Rio de Janeiro;66.42;69.42;75.1;12807706;14391282;15989929;0.573;0.664;0.761
Rio Grande do Norte;60.48;66.98;72.52;2415567;2776497;3168027;0.428;0.552;0.684
Rondônia;63.11;66.27;72.97;1132692;1379787;1562409;0.407;0.537;0.69
Roraima;62.66;67.99;73.51;217583;324397;450479;0.459;0.598;0.707
Rio Grande do Sul;68.76;73.22;75.38;9138670;10187798;10693929;0.542;0.664;0.746
Santa Catarina;70.16;73.69;76.61;4541994;5356360;6248436;0.543;0.674;0.774
Sergipe;59.83;65.66;71.84;1491876;1784475;2068017;0.408;0.518;0.665
São Paulo;68.82;72.16;75.69;31588925;37032403;41262199;0.578;0.702;0.783
Tocantins;60.32;66.28;72.56;919863;1157098;1383445;0.369;0.525;0.699
